SensorName,Value
Sensor_39787,76.07
Sensor_39532,43.65
Sensor_19895,89.97
Sensor_27390,76.15
Sensor_14857,16.66
Sensor_41933,48.43
Sensor_25526,21.41
Sensor_85191,50.07
Sensor_74672,20.9
Sensor_48121,77.02
Sensor_80763,31.14
Sensor_06115,37.58
Sensor_03301,43.21
Sensor_87302,75.97
Sensor_89776,36.62
Sensor_19734,30.41
Sensor_59455,79.18
Sensor_61891,81.28
Sensor_81489,15.34
Sensor_15321,87.04
Sensor_82313,69.71
Sensor_55172,58.77
Sensor_72942,30.59
Sensor_50882,62.94
Sensor_01552,60.3
Sensor_67714,60.08
Sensor_41919,38.98
Sensor_70029,56.23
Sensor_12773,63.81
Sensor_88126,64.29
Sensor_82204,24.96
Sensor_55148,36.74
Sensor_73288,13.79
Sensor_20588,17.37
Sensor_77336,74.87
Sensor_68323,11.43
Sensor_80345,52.14
Sensor_20092,67.21
Sensor_38783,14.35
Sensor_29082,55.1
Sensor_08315,81.97
Sensor_54074,75.1
Sensor_43728,12.79
Sensor_01935,16.19
Sensor_15833,48.54
Sensor_21960,18.82
Sensor_28369,25.52
Sensor_07322,21.06
Sensor_81831,72.52
Sensor_70730,76.37
Sensor_17431,44.68
Sensor_32659,13.47
Sensor_20778,77.96
Sensor_78919,60.64
Sensor_07968,27.75
Sensor_26150,73.38
Sensor_23087,87.61
Sensor_23489,26.54
Sensor_56257,28.44
Sensor_13066,44.67
Sensor_34202,67.51
Sensor_36284,62.61
Sensor_22263,59.76
Sensor_21027,34.66
Sensor_37492,24.59
Sensor_60748,14.62
Sensor_20445,68.41
Sensor_74535,49.65
Sensor_81904,87.4
Sensor_29686,35.71
Sensor_36919,44.15
Sensor_44104,79.91
Sensor_07577,46.64
Sensor_40619,36.51
Sensor_74163,37.53
Sensor_62109,74.75
Sensor_12985,71.66
Sensor_89638,64.43
Sensor_55865,22.68
Sensor_74326,28.59
Sensor_26557,54.74
Sensor_69971,83.96
Sensor_89704,66.84
Sensor_12829,67.17
Sensor_78387,74.39
Sensor_46918,18.26
Sensor_37443,43.82
Sensor_12094,55.07
Sensor_57268,10.51
Sensor_65130,25.12
Sensor_06645,22.85
Sensor_24729,56.02
Sensor_89597,30.62
Sensor_00881,45.66
Sensor_51400,32.2
Sensor_52691,11.99
Sensor_47470,43.99
Sensor_26346,44.18
Sensor_12165,80.93
Sensor_33108,39.5
Sensor_40912,35.38
Sensor_60622,62.69
Sensor_37456,27.15
Sensor_23570,39.11
Sensor_57907,32.1
Sensor_88101,59.96
Sensor_40812,29.42
Sensor_32214,38.19
Sensor_77900,28.39
Sensor_33487,25.85
Sensor_24313,14.34
Sensor_86893,57.64
Sensor_41163,89.38
Sensor_70063,51.1
Sensor_72390,23.32
Sensor_69994,40.85
Sensor_08664,18.67
Sensor_29645,20.16
Sensor_13510,10.52
Sensor_72506,31.31
Sensor_41379,13.51
Sensor_75908,21.09
Sensor_02276,25.98
Sensor_32803,63.91
Sensor_24740,21.4
Sensor_24687,24.36
Sensor_32467,71.09
Sensor_05110,32.43
Sensor_11113,86.54
Sensor_57672,53.3
Sensor_52063,27.56
Sensor_13612,69.05
Sensor_24521,65.64
Sensor_43274,80.18
Sensor_63840,14.56
Sensor_04585,84.92
Sensor_52058,83.15
Sensor_66195,74.57
Sensor_61569,13.34
Sensor_14100,31.48
Sensor_13272,68.76
Sensor_54094,34.49
Sensor_20801,83.26
Sensor_82759,23.56
Sensor_39716,23.43
Sensor_05771,10.64
Sensor_53742,80.67
Sensor_55937,79.94
Sensor_74155,50.4
Sensor_68717,64.71
Sensor_59306,79.85
Sensor_48070,51.27
Sensor_08117,60.51
Sensor_77464,55.26
Sensor_79105,68.32
Sensor_32998,41.54
Sensor_37637,27.48
Sensor_74886,46.42
Sensor_51508,53.66
Sensor_00113,31.72
Sensor_23933,70.15
Sensor_66646,62.14
Sensor_72640,31.48
Sensor_74452,35.99
Sensor_52354,74.2
Sensor_56157,84.85
Sensor_26851,26.91
Sensor_71151,85.5
Sensor_17522,36.9
Sensor_28128,49.58
Sensor_03290,42.74
Sensor_89767,33.05
Sensor_23873,69.69
Sensor_05554,44.9
Sensor_60834,71.45
Sensor_82242,82.55
Sensor_24548,18.93
Sensor_01915,12.49
Sensor_88199,19.67
Sensor_75139,50.32
Sensor_39288,75.63
Sensor_26645,27.17
Sensor_29990,12.99
Sensor_50637,55.56
Sensor_35198,14.48
Sensor_70868,77.49
Sensor_87849,42.38
Sensor_68616,83.93
Sensor_34977,41.83
Sensor_89233,42.3
Sensor_29055,74.4
Sensor_37768,17.09
Sensor_69214,24.42
Sensor_09075,54.97
Sensor_36593,46.33
Sensor_15013,79.33
Sensor_77677,49.27
Sensor_06935,76.93
Sensor_09693,62.62
Sensor_16008,89.86
Sensor_19994,60.76
Sensor_02397,10.7
Sensor_03284,70.7
Sensor_86822,62.99
Sensor_62805,40.18
Sensor_37972,63.19
Sensor_14690,76.76
Sensor_57719,72.7
Sensor_35726,81.19
Sensor_10861,58.52
Sensor_17911,43.14
Sensor_63566,82.53
Sensor_77731,82.13
Sensor_78967,80.83
Sensor_62390,14.09
Sensor_49373,51.98
Sensor_74969,55.59
Sensor_84250,13.74
Sensor_34997,56.46
Sensor_22816,39.88
Sensor_55200,60.31
Sensor_81563,70.99
Sensor_59251,44.28
Sensor_32736,42.7
Sensor_58006,36.59
Sensor_01348,52.64
Sensor_47480,49.91
Sensor_87114,39.47
Sensor_81122,67.69
Sensor_27323,34.3
Sensor_16938,74.17
Sensor_09172,22.6
Sensor_50707,86.21
Sensor_77808,83.79
Sensor_60545,29.83
Sensor_25681,34.35
Sensor_53530,34.2
Sensor_02222,21.61
Sensor_61351,63.93
Sensor_85848,13.46
Sensor_01368,18.83
Sensor_02857,70.49
Sensor_14611,46.09
Sensor_02314,65.21
Sensor_87305,11.08
Sensor_81483,84.97
Sensor_35187,52.62
Sensor_26967,61.05
Sensor_88247,86.23
Sensor_54779,32.98
Sensor_85315,73.45
Sensor_84028,59.13
Sensor_10055,14.31
Sensor_69129,10.42
Sensor_79508,86.72
Sensor_86138,56.7
Sensor_58297,58.66
Sensor_86445,45.16
Sensor_34682,46.12
Sensor_43307,68.59
Sensor_44531,68.45
Sensor_70095,10.64
Sensor_35751,46.62
Sensor_43589,32.9
Sensor_24830,70.4
Sensor_88065,50.66
Sensor_51352,76.03
Sensor_04936,73.26
Sensor_13101,27.28
Sensor_35524,82.39
Sensor_36600,74.61
Sensor_88349,37.81
Sensor_16368,62.2
Sensor_54758,34.55
Sensor_60431,20.31
Sensor_64294,20.91
Sensor_28158,33.28
Sensor_02851,55.22
Sensor_48543,77.11
Sensor_59094,72.07
Sensor_71143,72.36
Sensor_15439,87.39
Sensor_02457,26.35
Sensor_02658,45.64
Sensor_08134,49.86
Sensor_76205,79.22
Sensor_05847,48.42
Sensor_67333,28.49
Sensor_42112,18.4
Sensor_05553,31.55
Sensor_45412,49.99
Sensor_55743,58.91
Sensor_73967,14.27
Sensor_20130,79.96
Sensor_50294,68.37
Sensor_14906,29.07
Sensor_19479,14.47
Sensor_26902,86.96
Sensor_26260,86.36
Sensor_65832,87.32
Sensor_53273,26.19
Sensor_74668,48.06
Sensor_43086,13.34
Sensor_89602,29.27
Sensor_65890,34.23
Sensor_29773,81.76
Sensor_34244,49.24
Sensor_85825,52.92
Sensor_27095,53.6
Sensor_49819,59.24
Sensor_77139,75.45
Sensor_42554,47.21
Sensor_13225,29.89
Sensor_02052,38.09
Sensor_69926,69.91
Sensor_87140,34.95
Sensor_05624,44.2
Sensor_61220,14.03
Sensor_62766,12.33
Sensor_34040,32.07
Sensor_58208,11.35
Sensor_35550,66.72
Sensor_71670,38.78
Sensor_76923,78.91
Sensor_31182,31.28
Sensor_43593,38.91
Sensor_30513,68.42
Sensor_67628,19.09
Sensor_65767,21.26
Sensor_60758,47.99
Sensor_17366,87.63
Sensor_85279,79.19
Sensor_83460,21.23
Sensor_19452,67.89
Sensor_29763,20.78
Sensor_55869,84.8
Sensor_01478,53.72
Sensor_11965,75.54
Sensor_08861,39.08
Sensor_03815,22.58
Sensor_38212,10.52
Sensor_85824,21.75
Sensor_53766,41.64
Sensor_67515,87.68
Sensor_70400,64.47
Sensor_21827,57.78
Sensor_88976,26.45
Sensor_10195,63.03
Sensor_10710,15.43
Sensor_61053,74.11
Sensor_81879,19.74
Sensor_59250,35.0
Sensor_40817,28.46
Sensor_03352,34.73
Sensor_74622,59.61
Sensor_86552,55.55
Sensor_32060,25.85
Sensor_17079,48.24
Sensor_17156,24.65
Sensor_23231,26.88
Sensor_36106,50.43
Sensor_80579,82.02
Sensor_07716,56.08
Sensor_88507,31.41
Sensor_62834,72.61
Sensor_29789,67.88
Sensor_61787,23.87
Sensor_74877,32.61
Sensor_75059,68.78
Sensor_35893,81.62
Sensor_08827,47.35
Sensor_15485,14.44
Sensor_28705,43.74
Sensor_26283,34.79
Sensor_82248,44.23
Sensor_49608,76.42
Sensor_36013,47.62
Sensor_40746,20.14
Sensor_55232,37.54
Sensor_66268,74.03
Sensor_83269,26.03
Sensor_15450,50.55
Sensor_62057,50.25
Sensor_37875,55.84
Sensor_09325,18.74
Sensor_79762,62.28
Sensor_68636,31.38
Sensor_04773,28.42
Sensor_58571,31.23
Sensor_32919,60.9
Sensor_30585,84.16
Sensor_44900,11.43
Sensor_39437,28.63
Sensor_02051,58.26
Sensor_10333,76.46
Sensor_44688,31.37
Sensor_37020,17.79
Sensor_33155,15.73
Sensor_62203,17.55
Sensor_74999,33.05
Sensor_06369,20.12
Sensor_09753,58.33
Sensor_10407,37.01
Sensor_44315,58.68
Sensor_04685,75.4
Sensor_45407,46.52
Sensor_23199,57.77
Sensor_00744,40.42
Sensor_33010,42.67
Sensor_68926,74.97
Sensor_83923,18.72
Sensor_17224,25.85
Sensor_16031,19.59
Sensor_31441,69.99
Sensor_77727,23.2
Sensor_00821,22.07
Sensor_09025,18.07
Sensor_22635,65.62
Sensor_43083,74.78
Sensor_57597,59.54
Sensor_83044,81.61
Sensor_66623,87.37
Sensor_33688,58.26
Sensor_03792,81.06
Sensor_85216,35.31
Sensor_24803,20.36
Sensor_49364,48.71
Sensor_76658,34.27
Sensor_41020,83.04
Sensor_50476,83.56
Sensor_43378,49.98
Sensor_72865,79.76
Sensor_70263,43.84
Sensor_60052,25.23
Sensor_04482,37.91
Sensor_23884,65.14
Sensor_06722,79.13
Sensor_84666,39.39
Sensor_46671,62.01
Sensor_08892,49.44
Sensor_73840,34.69
Sensor_46602,15.69
Sensor_35987,48.97
Sensor_24541,82.99
Sensor_16046,69.68
Sensor_08042,33.09
Sensor_28639,41.75
Sensor_20780,70.19
Sensor_26238,89.15
Sensor_72520,33.92
Sensor_18524,68.0
Sensor_21574,51.92
Sensor_31217,33.54
Sensor_76771,88.26
Sensor_00015,71.85
Sensor_16936,73.5
Sensor_69863,71.69
Sensor_24702,26.04
Sensor_18621,46.87
Sensor_31976,82.51
Sensor_83789,49.5
Sensor_81427,89.79
Sensor_33684,75.34
Sensor_51050,85.71
Sensor_39173,60.15
Sensor_78985,20.72
Sensor_72667,38.47
Sensor_59251,45.16
Sensor_11315,41.78
Sensor_26692,39.1
Sensor_67529,37.23
Sensor_72672,56.97
Sensor_17260,80.25
Sensor_89079,67.95
Sensor_11774,40.75
Sensor_41071,18.7
Sensor_31841,39.31
Sensor_13751,24.87
Sensor_07339,89.92
Sensor_15793,20.6
Sensor_33401,85.74
Sensor_59223,87.42
Sensor_53650,74.18
Sensor_56539,34.66
Sensor_74762,50.43
Sensor_21713,21.67
Sensor_14348,80.19
Sensor_69753,28.01
Sensor_72525,20.89
Sensor_64054,54.56
Sensor_83508,25.32
Sensor_78170,84.47
Sensor_34647,86.05
Sensor_25603,53.26
Sensor_34222,15.77
Sensor_40398,26.23
Sensor_16278,84.42
Sensor_53756,42.78
Sensor_06899,17.38
Sensor_42048,65.69
Sensor_67979,66.28
Sensor_82097,47.65
Sensor_13625,38.65
Sensor_73789,45.67
Sensor_43172,14.26
Sensor_12278,12.46
Sensor_64386,33.75
Sensor_06008,64.97
Sensor_85250,69.24
Sensor_28146,50.11
Sensor_28239,38.13
Sensor_89332,86.13
Sensor_80303,39.19
Sensor_88493,10.99
Sensor_44135,14.8
Sensor_46284,44.96
Sensor_43135,83.89
Sensor_77224,44.18
Sensor_37472,89.99
Sensor_35835,79.84
Sensor_43264,77.42
Sensor_78239,73.59
Sensor_39706,43.97
Sensor_22923,13.21
Sensor_82970,59.38
Sensor_70674,45.69
Sensor_01057,26.73
Sensor_37766,33.36
Sensor_54834,39.6
Sensor_64789,23.71
Sensor_84560,37.49
Sensor_12535,36.93
Sensor_68342,88.08
Sensor_33123,27.08
Sensor_26806,15.42
Sensor_09314,33.4
Sensor_63929,80.63
Sensor_37548,10.64
Sensor_67802,48.21
Sensor_36895,71.62
Sensor_49724,31.06
Sensor_36723,81.91
Sensor_60892,64.95
Sensor_18837,50.32
Sensor_16578,87.22
Sensor_05319,47.64
Sensor_23607,57.25
Sensor_14283,10.81
Sensor_56312,15.1
Sensor_83852,85.23
Sensor_32994,32.73
Sensor_82040,64.44
Sensor_66695,40.81
Sensor_79928,77.35
Sensor_08143,61.77
Sensor_42142,31.5
Sensor_46212,43.42
Sensor_03507,78.78
Sensor_03981,83.09
Sensor_26246,35.5
Sensor_49698,10.13
Sensor_68343,16.83
Sensor_46561,59.41
Sensor_36648,60.6
Sensor_36393,64.09
Sensor_06138,35.4
Sensor_28387,46.2
Sensor_57257,84.45
Sensor_32616,81.47
Sensor_73253,49.96
Sensor_00688,43.91
Sensor_18457,71.32
Sensor_75426,82.31
Sensor_49322,37.19
Sensor_48849,89.05
Sensor_77062,38.33
Sensor_58713,69.15
Sensor_17489,63.06
Sensor_47998,16.79
Sensor_86755,78.62
Sensor_22564,51.01
Sensor_07839,57.22
Sensor_49376,19.08
Sensor_40764,59.25
Sensor_19281,58.23
Sensor_33938,28.17
Sensor_13505,38.11
Sensor_70435,42.54
Sensor_49880,67.4
Sensor_04413,49.1
Sensor_33934,14.35
Sensor_45875,39.21
Sensor_55254,75.12
Sensor_42490,64.92
Sensor_60369,38.63
Sensor_49537,89.87
Sensor_80467,75.95
Sensor_56870,75.48
Sensor_89641,68.79
Sensor_06471,48.11
Sensor_81674,88.7
Sensor_32067,39.13
Sensor_52298,77.24
Sensor_09637,54.34
Sensor_67018,34.37
Sensor_01704,88.82
Sensor_65996,18.94
Sensor_63608,52.27
Sensor_22317,64.23
Sensor_50384,56.02
Sensor_09322,78.96
Sensor_85482,52.54
Sensor_21883,35.86
Sensor_34157,55.62
Sensor_65907,26.12
Sensor_03844,63.49
Sensor_21708,44.54
Sensor_38068,88.38
Sensor_61889,87.49
Sensor_22172,45.58
Sensor_20645,81.47
Sensor_77353,71.11
Sensor_19349,50.82
Sensor_58443,66.17
Sensor_29749,13.54
Sensor_14391,59.14
Sensor_34145,70.37
Sensor_55861,31.22
Sensor_68897,46.49
Sensor_27605,40.91
Sensor_15877,10.71
Sensor_31225,86.82
Sensor_44569,25.18
Sensor_10181,45.53
Sensor_10365,86.41
Sensor_01058,25.81
Sensor_37813,21.9
Sensor_00622,48.1
Sensor_07376,76.06
Sensor_50383,59.54
Sensor_89656,34.39
Sensor_25953,72.26
Sensor_79059,44.02
Sensor_35989,48.18
Sensor_08623,81.78
Sensor_73219,60.35
Sensor_41168,13.73
Sensor_66410,29.89
Sensor_86383,81.17
Sensor_20699,87.29
Sensor_38063,69.76
Sensor_06335,37.25
Sensor_48249,16.27
Sensor_24461,40.04
Sensor_23983,18.47
Sensor_07493,23.45
Sensor_45748,63.87
Sensor_11220,35.34
Sensor_42364,47.5
Sensor_04090,86.99
Sensor_14253,47.19
Sensor_00776,56.53
Sensor_65930,35.65
Sensor_61821,88.28
Sensor_40322,60.08
Sensor_61708,69.15
Sensor_05939,30.18
Sensor_02470,74.1
Sensor_08891,56.57
Sensor_33375,47.61
Sensor_51939,70.46
Sensor_71714,31.81
Sensor_77450,10.15
Sensor_80738,47.04
Sensor_15450,78.81
Sensor_46491,84.5
Sensor_57003,37.66
Sensor_80468,63.21
Sensor_82746,19.4
Sensor_36575,16.27
Sensor_51946,55.23
Sensor_04887,35.81
Sensor_68906,17.74
Sensor_52351,38.84
Sensor_50730,12.03
Sensor_52270,40.62
Sensor_17081,43.82
Sensor_04383,68.1
Sensor_50736,19.42
Sensor_72142,87.77
Sensor_57735,18.71
Sensor_89650,22.32
Sensor_72857,47.13
Sensor_24367,75.44
Sensor_43403,47.09
Sensor_85038,36.7
Sensor_26101,79.56
Sensor_15255,85.45
Sensor_55459,68.41
Sensor_06019,32.06
Sensor_12378,22.7
Sensor_70049,37.25
Sensor_30903,82.91
Sensor_24609,12.94
Sensor_67745,32.26
Sensor_40378,77.35
Sensor_88457,60.62
Sensor_69085,57.4
Sensor_45055,73.3
Sensor_54134,31.7
Sensor_15483,57.7
Sensor_39562,35.14
Sensor_06308,81.08
Sensor_69018,45.19
Sensor_59905,43.47
Sensor_89321,64.76
Sensor_01085,84.58
Sensor_64171,71.54
Sensor_50831,24.19
Sensor_18814,32.92
Sensor_28706,49.21
Sensor_64166,86.97
Sensor_84559,13.54
Sensor_87609,48.74
Sensor_53806,80.99
Sensor_48330,21.66
Sensor_80224,77.3
Sensor_03890,47.38
Sensor_35659,80.96
Sensor_74438,43.35
Sensor_85408,46.45
Sensor_80652,21.69
Sensor_81927,50.53
Sensor_00729,14.61
Sensor_67538,19.77
Sensor_68971,31.29
Sensor_57820,21.6
Sensor_59176,40.01
Sensor_60211,46.16
Sensor_59007,44.64
Sensor_00579,81.36
Sensor_01607,16.6
Sensor_14323,80.02
Sensor_23194,34.8
Sensor_06725,87.94
Sensor_80844,27.87
Sensor_65832,10.18
Sensor_63080,23.31
Sensor_52585,44.57
Sensor_35694,25.41
Sensor_75704,44.94
Sensor_89429,37.73
Sensor_35725,68.8
Sensor_29331,75.69
Sensor_87190,70.76
Sensor_25390,13.42
Sensor_36063,83.47
Sensor_25858,85.77
Sensor_11330,87.56
Sensor_57902,13.98
Sensor_43615,77.7
Sensor_38946,33.33
Sensor_56435,34.06
Sensor_04169,24.24
Sensor_63450,60.56
Sensor_75645,77.47
Sensor_12941,46.9
Sensor_39557,85.4
Sensor_77749,66.84
Sensor_10767,30.38
Sensor_87287,10.86
Sensor_29934,47.08
Sensor_29325,15.89
Sensor_83318,63.28
Sensor_61376,67.24
Sensor_54900,70.23
Sensor_15194,20.14
Sensor_86712,40.39
Sensor_02875,26.99
Sensor_62287,37.5
Sensor_36207,88.24
Sensor_30470,69.7
Sensor_01084,24.13
Sensor_32633,86.15
Sensor_33149,59.62
Sensor_23565,69.17
Sensor_09949,21.49
Sensor_83699,68.1
Sensor_55708,43.58
Sensor_26924,23.86
Sensor_38607,13.2
Sensor_67576,68.74
Sensor_51269,54.63
Sensor_36872,79.25
Sensor_84929,11.86
Sensor_44269,70.41
Sensor_34289,38.71
Sensor_23971,47.99
Sensor_10119,31.05
Sensor_51061,49.3
Sensor_42248,79.48
Sensor_42867,55.01
Sensor_54508,77.85
Sensor_74457,13.81
Sensor_88040,53.2
Sensor_83152,62.88
Sensor_56411,48.61
Sensor_53934,49.99
Sensor_18921,44.67
Sensor_76516,66.22
Sensor_08814,84.64
Sensor_03773,52.01
Sensor_42050,61.16
Sensor_32147,24.46
Sensor_85458,48.03
Sensor_46838,43.54
Sensor_53908,39.45
Sensor_34673,87.51
Sensor_31205,81.4
Sensor_26763,73.46
Sensor_00539,44.23
Sensor_67873,37.26
Sensor_37923,77.21
Sensor_36201,11.41
Sensor_82343,64.43
Sensor_59997,51.89
Sensor_02302,11.08
Sensor_30010,70.51
Sensor_30911,61.65
Sensor_40786,38.99
Sensor_87600,44.58
Sensor_78781,57.02
Sensor_30311,59.76
Sensor_02534,71.8
Sensor_26231,78.42
Sensor_80979,40.93
Sensor_02338,71.48
Sensor_60153,12.86
Sensor_19190,54.69
Sensor_72973,47.29
Sensor_23088,47.44
Sensor_72570,73.97
Sensor_83293,63.53
Sensor_60610,28.54
Sensor_49374,77.81
Sensor_40594,26.84
Sensor_83588,34.32
Sensor_49058,55.73
Sensor_08605,89.37
Sensor_23343,47.92
Sensor_39639,81.73
Sensor_42358,20.13
Sensor_40653,79.07
Sensor_45693,22.95
Sensor_17315,73.93
Sensor_21349,62.69
Sensor_65330,53.35
Sensor_30714,27.87
Sensor_67884,82.44
Sensor_59157,64.54
Sensor_86662,83.49
Sensor_02990,46.7
Sensor_71853,65.12
Sensor_15427,39.62
Sensor_31654,37.52
Sensor_59423,34.06
Sensor_50480,58.86
Sensor_61053,24.54
Sensor_28771,37.37
Sensor_25421,41.98
Sensor_09202,59.42
Sensor_44348,18.26
Sensor_36979,17.52
Sensor_75061,56.77
Sensor_68642,84.64
Sensor_42622,35.53
Sensor_09379,83.91
Sensor_45943,46.7
Sensor_50089,85.58
Sensor_32488,83.96
Sensor_87596,87.23
Sensor_89705,77.39
Sensor_54111,60.93
Sensor_67581,61.43
Sensor_38954,70.57
Sensor_07326,68.75
Sensor_84408,45.92
Sensor_55645,75.46
Sensor_76172,89.77
Sensor_34919,23.2
Sensor_36124,20.1
Sensor_05702,77.59
Sensor_15231,57.01
Sensor_84570,59.2
Sensor_27887,15.14
Sensor_80012,48.34
Sensor_57311,52.02
Sensor_09832,44.66
Sensor_25694,39.52
Sensor_65888,52.74
Sensor_37047,68.85
Sensor_81960,23.13
Sensor_72997,63.17
Sensor_79849,48.12
Sensor_25935,41.22
Sensor_05535,52.25
Sensor_79482,65.87
Sensor_77444,54.03
Sensor_24063,42.77
Sensor_64635,57.73
Sensor_46198,33.95
Sensor_29504,32.45
Sensor_60906,44.78
Sensor_72765,83.91
Sensor_74957,29.77
Sensor_23992,42.06
Sensor_58437,36.77
Sensor_83817,33.95
Sensor_72692,35.9
Sensor_29091,89.53
Sensor_40272,27.15
Sensor_25765,68.73
Sensor_88842,56.81
Sensor_17639,37.49
Sensor_62679,49.36
Sensor_81182,68.8
Sensor_43008,31.91
Sensor_74594,51.74
Sensor_59828,28.83
Sensor_86127,44.04
Sensor_54071,43.51
Sensor_27471,86.53
Sensor_03005,67.37
Sensor_00686,13.95
Sensor_82005,65.26
Sensor_02589,89.61
Sensor_00467,86.64
Sensor_43042,19.12
Sensor_87456,78.7
Sensor_42290,45.01
Sensor_48104,66.26
Sensor_09275,38.69
Sensor_87393,76.02
Sensor_81064,11.5
Sensor_20984,58.49
Sensor_30845,40.97
Sensor_80663,73.75
Sensor_05015,24.03
Sensor_59599,63.51
Sensor_54930,28.18
Sensor_71077,30.69
Sensor_06329,30.5
Sensor_09892,88.62
Sensor_54594,42.06
Sensor_89338,83.31
Sensor_83658,54.92
Sensor_74639,52.7
Sensor_68848,41.3
Sensor_43333,84.95
Sensor_55431,71.89
Sensor_05103,73.9
Sensor_42499,16.09
Sensor_35233,51.68
Sensor_04481,66.33
Sensor_30632,61.67
Sensor_05564,37.2
Sensor_39028,63.07
Sensor_62725,86.25
Sensor_81208,15.02
Sensor_57706,75.53
Sensor_68051,55.03
Sensor_16193,18.93
Sensor_64005,31.06
Sensor_38387,31.76
Sensor_37224,82.58
Sensor_75399,46.42
Sensor_62233,27.04
Sensor_13965,54.3
Sensor_88849,82.8
Sensor_05523,39.76
Sensor_20382,28.36
Sensor_70599,63.78
Sensor_06131,35.78
Sensor_82315,36.95
Sensor_11640,42.02
Sensor_35895,89.33
Sensor_16608,29.51
Sensor_21176,58.73
Sensor_53072,61.7
Sensor_37824,50.46
Sensor_55035,24.74
Sensor_00180,89.26
Sensor_70386,52.31
Sensor_65128,87.08
Sensor_82791,35.78
Sensor_14826,40.9
Sensor_17509,87.44
Sensor_71685,89.05
Sensor_78979,16.11
Sensor_76320,60.85
Sensor_42667,15.8
Sensor_87867,54.35
Sensor_65805,73.66
Sensor_68936,28.55
Sensor_85548,61.12
Sensor_52105,19.72
Sensor_66906,38.89
Sensor_32779,52.84
Sensor_12737,83.45
Sensor_24747,69.1
Sensor_26183,62.01
Sensor_30290,49.01
Sensor_19323,40.62
Sensor_00571,27.28
Sensor_47838,21.79
Sensor_55419,72.32
Sensor_20461,71.82
Sensor_77492,57.69
Sensor_85948,45.37
Sensor_67516,68.74
Sensor_64011,57.3
Sensor_82144,86.14
Sensor_46405,66.37
Sensor_53880,71.17
Sensor_14771,44.44
Sensor_17806,15.98
Sensor_27696,86.41
Sensor_42009,11.69
Sensor_58652,70.95
Sensor_19583,34.87
Sensor_62556,27.89
Sensor_46760,84.06
Sensor_67427,21.84
Sensor_17942,34.41
Sensor_84877,84.86
Sensor_03238,13.64
Sensor_66919,73.33
Sensor_80417,88.1
Sensor_49846,82.14
Sensor_83711,15.33
Sensor_71361,51.67
Sensor_20663,27.39
Sensor_89829,35.77
Sensor_87650,75.47
Sensor_81321,20.08
Sensor_68822,32.37
